Country Name,2017 life expectancy
Aruba,76.01
Afghanistan,64.047
Angola,61.809
Albania,78.495
Arab World,71.4037503510889
United Arab Emirates,77.412
Argentina,76.738
Armenia,74.782
Antigua and Barbuda,76.519
Australia,82.4975609756098
Austria,81.6414634146342
Azerbaijan,72.123
Burundi,57.857
Belgium,81.4390243902439
Benin,61.171
Burkina Faso,60.77
Bangladesh,72.808
Bulgaria,74.8121951219512
Bahrain,77.038
"Bahamas, The",75.823
Bosnia and Herzegovina,77.087
Belarus,74.1292682926829
Belize,70.588
Bermuda,81.4419512195122
Bolivia,69.473
Brazil,75.723
Barbados,76.057
Brunei Darussalam,77.374
Bhutan,70.565
Botswana,67.618
Central African Republic,52.89
Canada,82.4704878048781
Switzerland,83.6024390243903
Channel Islands,81.255
Chile,79.732
China,76.41
Cote d'Ivoire,54.102
Cameroon,58.575
"Congo, Dem. Rep.",60.031
"Congo, Rep.",65.088
Colombia,74.562
Comoros,63.912
Cabo Verde,73.004
Costa Rica,80.03
Cuba,79.921
Curacao,78.0170731707317
Cyprus,80.67
Czech Republic,79.4756097560976
Germany,80.990243902439
Djibouti,62.643
Denmark,81.0048780487805
Dominican Republic,74.048
Algeria,76.293
Ecuador,76.551
"Egypt, Arab Rep.",71.661
Euro area,81.9510376034209
Eritrea,65.536
Spain,83.3292682926829
Estonia,77.6414634146342
Ethiopia,65.874
European Union,80.991910397034
Finland,81.4292682926829
Fiji,70.417
France,82.5243902439024
Faroe Islands,82.4
"Micronesia, Fed. Sts.",69.316
Gabon,66.48
United Kingdom,81.1560975609756
Georgia,73.436
Ghana,63.033
Guinea,60.617
"Gambia, The",61.424
Guinea-Bissau,57.805
Equatorial Guinea,57.939
Greece,81.3878048780488
Grenada,73.78
Guatemala,73.654
Guam,79.763
Guyana,66.766
High income,80.5461483188999
"Hong Kong SAR, China",84.6804878048781
Honduras,73.774
Croatia,77.8268292682927
Haiti,63.589
Hungary,76.0634146341464
Indonesia,69.355
India,68.803
Ireland,81.9560975609756
"Iran, Islamic Rep.",76.153
Iraq,70.038
Iceland,82.2048780487805
Israel,82.6024390243903
Italy,83.2439024390244
Jamaica,76.097
Jordan,74.476
Japan,84.099756097561
Kazakhstan,72.95
Kenya,67.291
Kyrgyz Republic,71.2
Cambodia,69.331
Kiribati,66.506
St. Kitts and Nevis,
"Korea, Rep.",82.6268292682927
Kuwait,74.811
Lao PDR,67.021
Lebanon,79.758
Liberia,63.006
Libya,72.11
St. Lucia,75.696
Latin America & Caribbean,75.7398164785756
Liechtenstein,82.2585365853659
Sri Lanka,75.485
Lesotho,54.568
Lithuania,74.6707317073171
Luxembourg,82.6853658536585
Latvia,74.6804878048781
"Macao SAR, China",83.991
St. Martin (French part),79.7219512195122
Morocco,76.059
Moldova,71.718
Madagascar,66.312
Maldives,77.649
Middle East & North Africa,73.6951488724655
Mexico,77.305
Middle income,71.5382029346717
North Macedonia,75.851
Mali,58.456
Malta,82.4536585365854
Myanmar,66.744
Montenegro,77.271
Mongolia,69.465
Mozambique,58.872
Mauritania,63.384
Mauritius,74.5146341463415
Malawi,63.671
Malaysia,75.452
North America,78.9383010210934
Namibia,64.85
New Caledonia,77.1487804878049
Niger,60.422
Nigeria,53.875
Nicaragua,75.653
Netherlands,81.5609756097561
Norway,82.509756097561
Nepal,70.604
New Zealand,81.6585365853659
Oman,77.258
Pakistan,66.629
Panama,78.195
Peru,75.22
Philippines,69.238
Palau,
Papua New Guinea,65.705
Poland,77.8512195121951
Puerto Rico,79.9736341463415
"Korea, Dem. Peopleâ€™s Rep.",71.887
Portugal,81.1243902439025
Paraguay,73.211
West Bank and Gaza,73.646
French Polynesia,76.996
Qatar,78.331
Romania,75.309756097561
Russian Federation,72.1190243902439
Rwanda,67.496
South Asia,68.9503720295518
Saudi Arabia,74.72
Sudan,64.698
Senegal,67.477
Singapore,82.8951219512195
Solomon Islands,71.006
Sierra Leone,52.214
El Salvador,73.75
Somalia,56.714
Serbia,76.0878048780488
South Sudan,57.288
Sao Tome and Principe,66.762
Suriname,71.523
Slovak Republic,77.1658536585366
Slovenia,81.1756097560976
Sweden,82.3073170731707
Eswatini,58.268
Seychelles,74.3
Syrian Arab Republic,70.963
Chad,53.208
Togo,60.477
Thailand,75.498
Tajikistan,71.214
Turkmenistan,67.956
Timor-Leste,69.199
Tonga,73.179
Trinidad and Tobago,70.783
Tunisia,75.943
Turkey,76.009
Tanzania,66.31
Uganda,60.182
Ukraine,71.7809756097561
Uruguay,77.645
United States,78.5390243902439
Uzbekistan,71.42
St. Vincent and the Grenadines,73.294
"Venezuela, RB",74.726
British Virgin Islands,
Virgin Islands (U.S.),79.419512195122
Vietnam,76.454
Vanuatu,72.334
World,72.2315888893425
Samoa,75.24
Kosovo,71.9463414634146
"Yemen, Rep.",65.157
South Africa,63.404
Zambia,62.255
Zimbabwe,61.712
